,First,Second,Third
83,"(78, ('2019 Ford F-150 Lariat', 'Ford F-250 SD Lariat OFF'))","(86, ('2019 Ford F-150 Lariat', 'Ford F-250 SD Lariat'))","(86, ('2019 Ford F-150 Lariat', 'Ford F-350 SD Lariat'))"
84,"(80, ('2019 Ford F-150 Limited', 'Ford Flex Limited'))","(87, ('2019 Ford F-150 Limited', 'Ford F-250 SD Limited'))","(87, ('2019 Ford F-150 Limited', 'Ford F-350 SD Limited'))"
85,"(80, ('2019 Ford F-150 Platinum', 'Ford F-250 SD Platinum OFF'))","(88, ('2019 Ford F-150 Platinum', 'Ford F-250 SD Platinum'))","(88, ('2019 Ford F-150 Platinum', 'Ford F-350 SD Platinum'))"
86,"(83, ('2019 Ford F-150 XL', 'Ford F-350 SD XL'))","(87, ('2019 Ford F-150 XL', 'Ford F-150'))","(89, ('2019 Ford F-150 XL', 'Ford F-150 FX4'))"
87,"(84, ('2019 Ford F-150 XLT', 'Ford F-250 SD XLT'))","(84, ('2019 Ford F-150 XLT', 'Ford F-350 SD XLT'))","(86, ('2019 Ford F-150 XLT', 'Ford F-150 FX4'))"
88,"(89, ('2019 Ford F-250 King Ranch', 'Ford F-350 SD King Ranch'))","(89, ('2019 Ford F-250 King Ranch', 'Ford F-450 SD King Ranch'))","(93, ('2019 Ford F-250 King Ranch', 'Ford F-250 SD King Ranch'))"
89,"(83, ('2019 Ford F-250 Lariat', 'Ford F-250 SD Lariat OFF'))","(86, ('2019 Ford F-250 Lariat', 'Ford F-350 SD Lariat'))","(92, ('2019 Ford F-250 Lariat', 'Ford F-250 SD Lariat'))"
90,"(84, ('2019 Ford F-250 Platinum', 'Ford F-250 SD Platinum OFF'))","(88, ('2019 Ford F-250 Platinum', 'Ford F-350 SD Platinum'))","(93, ('2019 Ford F-250 Platinum', 'Ford F-250 SD Platinum'))"
91,"(85, ('2019 Ford F-250 XL', 'Ford F-250 SD'))","(87, ('2019 Ford F-250 XL', 'Ford F-250 SD XLT'))","(90, ('2019 Ford F-250 XL', 'Ford F-250 SD XL'))"
92,"(84, ('2019 Ford F-250 XLT', 'Ford F-350 SD XLT'))","(87, ('2019 Ford F-250 XLT', 'Ford F-250 SD XL'))","(90, ('2019 Ford F-250 XLT', 'Ford F-250 SD XLT'))"
93,"(67, ('2019 Ford F-350 KNAPHEIDE', 'Ford F-250 SD'))","(67, ('2019 Ford F-350 KNAPHEIDE', 'Ford F-350 SD XL'))","(73, ('2019 Ford F-350 KNAPHEIDE', 'Ford F-350 SD'))"
94,"(89, ('2019 Ford F-350 King Ranch', 'Ford F-250 SD King Ranch'))","(89, ('2019 Ford F-350 King Ranch', 'Ford F-450 SD King Ranch'))","(93, ('2019 Ford F-350 King Ranch', 'Ford F-350 SD King Ranch'))"
95,"(78, ('2019 Ford F-350 Lariat', 'Ford F-250 SD Lariat OFF'))","(86, ('2019 Ford F-350 Lariat', 'Ford F-250 SD Lariat'))","(92, ('2019 Ford F-350 Lariat', 'Ford F-350 SD Lariat'))"
96,"(65, ('2019 Ford F-350 Lariat Super Duty', 'Ford F-250 SD Lariat OFF'))","(67, ('2019 Ford F-350 Lariat Super Duty', 'Ford F-250 SD Lariat'))","(71, ('2019 Ford F-350 Lariat Super Duty', 'Ford F-350 SD Lariat'))"
97,"(80, ('2019 Ford F-350 Platinum', 'Ford F-250 SD Platinum OFF'))","(88, ('2019 Ford F-350 Platinum', 'Ford F-250 SD Platinum'))","(93, ('2019 Ford F-350 Platinum', 'Ford F-350 SD Platinum'))"
