name,price,city_mpg,highway_mpg
2019 Jeep Grand Cherokee Trackhawk,87279.5,11.0,17.0
2019 Jeep Renegade Trailhawk,26383.5,22.0,27.0
2019 Kia Cadenza Limited,33429.0,20.0,27.0
2019 Kia Forte FE,16477.0,27.0,37.0
2019 Kia Niro EV EX Premium,45062.5,123.0,102.0
2019 Kia Niro EX,30412.545454545456,51.0,46.0
2019 Kia Niro LX,24444.2,51.0,46.0
2019 Kia Niro Plug-In Hybrid EX,32350.916666666668,0.0,0.0
2019 Kia Niro Plug-In Hybrid EX Premium,35794.333333333336,0.0,0.0
2019 Kia Niro Plug-In Hybrid LX,29098.2,0.0,0.0
2019 Kia Sedona EX,29040.0,18.0,24.0
2019 Kia Sedona LX,26245.0,18.0,24.0
2019 Kia Sorento EX,31947.0,19.0,24.0
2019 Kia Sorento S,29531.5,0.0,0.0
2019 Lexus ES 300h,51981.0,0.0,0.0
2019 Lexus ES 300h Base,47200.5,43.0,45.0
2019 Lexus ES 300h Luxury,50316.5,43.0,45.0
2019 Lexus RX 350 Base,54712.0,20.0,28.0
2019 Lexus RX 350L Premium,54498.0,19.0,26.0
2019 Lexus RX 450h Base,55919.0,31.0,28.0
2019 Lexus UX 250h,39063.666666666664,0.0,0.0
2019 Lexus UX 250h Base,37642.818181818184,41.0,38.0
2019 Lincoln MKC Reserve,41638.0,19.0,25.0
2019 Lincoln MKC Select,40850.0,19.0,25.0
2019 Lincoln MKZ Hybrid Reserve II,46649.0,42.0,39.0
2019 Lincoln MKZ Reserve I,40518.0,20.0,31.0
2019 Lincoln Nautilus Reserve,53986.8,21.0,26.0
2019 Lincoln Nautilus Select,48084.5,21.0,26.0
2019 MINI Convertible Cooper,30241.0,28.0,37.0
2019 MINI Hardtop Cooper S,34457.5,23.0,32.0
2019 Maserati Levante Base,86045.0,15.0,21.0
2019 Mazda CX-3 Sport,21255.0,27.0,32.0
2019 Mazda CX-3 Touring,24840.0,29.0,34.0
2019 Mazda CX-5 Grand Touring Reserve,36215.0,22.0,27.0
2019 Mazda CX-5 Signature,37424.0,22.0,27.0
2019 Mazda CX-5 Sport,23862.0,24.0,30.0
2019 Mazda CX-5 Touring,27386.5,25.0,31.0
2019 Mazda CX-9 Touring,35103.0,20.0,26.0
2019 Mazda MX-5 Miata Club,32978.0,26.0,34.0
2019 Mazda MX-5 Miata Grand Touring,30829.0,26.0,34.0
2019 Mazda Mazda3 FWD w/Preferred Package,24242.666666666668,26.0,35.0
2019 Mazda Mazda3 FWD w/Premium Package,28170.0,26.5,35.5
2019 Mazda Mazda3 FWD w/Select Package,22670.666666666668,26.0,35.0
2019 Mazda Mazda6 Grand Touring,28608.0,23.0,31.0
2019 Mazda Mazda6 Grand Touring Reserve,29131.0,23.0,31.0
2019 Mazda Mazda6 Touring,25796.333333333332,26.0,35.0
2019 Mercedes-Benz CLS 450 Base,79980.0,24.0,31.0
2019 Mercedes-Benz E 300,66905.0,21.0,30.0
2019 Mercedes-Benz E 300 4MATIC,64410.0,0.0,0.0
2019 Mercedes-Benz GLS 450 Base 4MATIC,83230.0,16.0,22.0
2019 Mercedes-Benz SL 450 Base,98570.0,20.0,28.0
2019 Mercedes-Benz Sprinter 1500 Standard Roof,39808.0,0.0,0.0
2019 Mercedes-Benz Sprinter 2500 High Roof,58237.0,0.0,0.0
2019 Mercedes-Benz Sprinter 2500 Standard Roof,43376.0,0.0,0.0
2019 Mercedes-Benz Sprinter 3500 High Roof,51360.0,0.0,0.0
2019 Mercedes-Benz Sprinter 3500XD Standard Roof,43026.0,0.0,0.0
2019 Mitsubishi Outlander ES,20220.0,25.0,30.0
2019 Mitsubishi Outlander LE,28465.0,25.0,30.0
2019 Mitsubishi Outlander PHEV GT,41524.0,0.0,0.0
2019 Mitsubishi Outlander PHEV SEL,37090.0,0.0,0.0
2019 Mitsubishi Outlander SEL,22579.0,25.0,30.0
2019 Mitsubishi Outlander Sport,24239.0,0.0,0.0
2019 Nissan Altima 2.5 SV,22500.0,28.0,39.0
2019 Nissan Armada Platinum,51170.0,13.0,18.0
